match,date,b365_home,b365_draw,b365_away,b365_book_pct,avg_home,avg_draw,avg_away,avg_book_pct,max_home,max_draw,max_away,best_available_book_pct,b365_close_home,b365_close_draw,b365_close_away,b365_close_book_pct,avg_close_home,avg_close_draw,avg_close_away,avg_close_book_pct,max_close_home,max_close_draw,max_close_away,best_available_close_book_pct
Liverpool v Bournemouth,2025-08-15,1.30,6.00,8.50,105.35,1.31,5.96,8.31,105.15,1.34,6.50,9.50,100.54,1.29,6.25,9.00,104.63,1.29,6.02,8.68,105.65,1.31,6.60,9.50,102.01
Aston Villa v Newcastle,2025-08-16,2.25,3.50,2.90,107.50,2.30,3.56,2.94,105.58,2.38,3.75,3.10,100.94,2.45,3.40,2.80,105.94,2.38,3.41,2.93,105.47,2.45,3.50,3.10,101.65
Brighton v Fulham,2025-08-16,1.91,3.60,4.00,105.13,1.92,3.62,3.91,105.28,1.95,3.75,4.00,102.95,1.80,3.70,4.33,105.68,1.83,3.64,4.26,105.59,1.87,3.75,4.40,102.87
Sunderland v West Ham,2025-08-16,3.25,3.40,2.25,104.63,3.17,3.38,2.26,105.38,3.25,3.50,2.30,102.82,3.40,3.20,2.25,105.11,3.40,3.17,2.25,105.40,3.55,3.30,2.31,101.76
Tottenham v Burnley,2025-08-16,1.38,4.75,8.50,105.28,1.37,4.80,8.30,105.87,1.40,5.00,9.50,101.95,1.55,3.90,6.25,106.16,1.55,4.01,6.16,105.69,1.58,4.10,6.50,103.07
Wolves v Man City,2025-08-16,6.25,4.75,1.45,106.02,6.73,4.73,1.44,105.44,7.50,5.00,1.48,100.90,6.25,4.20,1.53,105.17,6.24,4.32,1.51,105.40,7.00,4.65,1.53,101.15
Chelsea v Crystal Palace,2025-08-17,1.62,4.33,4.50,107.05,1.61,4.21,5.08,105.55,1.64,4.35,5.50,102.15,1.80,3.75,4.33,105.32,1.82,3.72,4.26,105.30,1.88,3.85,4.50,101.39
Nott'm Forest v Brentford,2025-08-17,2.20,3.30,3.50,104.33,2.15,3.36,3.43,105.43,2.20,3.50,3.55,102.19,1.90,3.50,4.20,105.01,1.91,3.44,4.16,105.46,1.95,3.55,4.30,102.71
Man United v Arsenal,2025-08-17,3.60,3.60,1.95,106.84,3.57,3.56,2.01,105.85,3.75,3.66,2.10,101.61,3.80,3.70,1.91,105.70,3.79,3.70,1.93,105.23,4.00,3.80,1.97,102.08
Leeds v Everton,2025-08-18,2.38,3.30,3.00,105.65,2.39,3.29,2.96,106.02,2.50,3.50,3.05,101.36,2.35,3.25,3.10,105.58,2.34,3.21,3.16,105.53,2.40,3.30,3.30,102.27
